x,y,Amount
34.2595555,-118.293602,1000
34.267357,-118.29024,1400
34.251998,-118.2926875,1100
34.2511895,-118.281014,900
34.2455945,-118.271731,1200
34.244255,-118.296428,1200
34.224155,-118.354339,1100
34.216189,-118.3456235,2000
34.210852,-118.3480495,1100
34.2412955,-118.3292705,600
34.274431,-118.30714,2000
34.262834,-118.30683,1100
34.2745565,-118.3439025,1000
34.255439,-118.3527775,1800
34.253933,-118.3147245,1000
34.2819045,-118.3918905,1500
34.276146,-118.404645,800
34.271671,-118.397614,1100
34.287866,-118.376208,1200
34.2867415,-118.4160805,800
34.279058,-118.411554,1000
34.2886315,-118.396898,1200
34.2762555,-118.4293915,1500
34.27316,-118.4202235,1100
34.2670615,-118.433071,800
34.2589085,-118.4345385,1200
34.2639205,-118.4286915,1000
34.25551,-118.4257485,1300
34.2604335,-118.4189955,1300
34.2579045,-118.422465,1100
34.268476,-118.4152165,800
34.2551165,-118.399872,1200
34.2625155,-118.4088415,1300
34.2502955,-118.411179,1200
34.2465705,-118.416294,1300
34.245882,-118.4209225,1300
34.3231715,-118.444538,1400
34.320427,-118.428524,2000
34.3231945,-118.4087995,2000
34.305005,-118.414298,1700
34.3062,-118.42203,1300
34.302675,-118.426951,1100
34.306005,-118.441288,1600
34.3146865,-118.448309,1200
34.321542,-118.4587415,1100
34.3105765,-118.4365505,1000
34.3132585,-118.440082,1100
34.3236325,-118.4860245,1400
34.308856,-118.4613605,1400
34.3189225,-118.5218285,2000
34.3042795,-118.474247,1100
34.298025,-118.509153,2000
34.2863475,-118.5084525,1500
34.289784,-118.524711,2000
34.2905125,-118.4928915,1500
34.2790905,-118.4941245,1400
34.293406,-118.4556035,900
34.288747,-118.4611105,1600
34.302027,-118.446501,1300
34.2975345,-118.4503905,1500
34.280038,-118.5413715,2000
34.280795,-118.55492,2000
34.2860705,-118.542893,2000
34.2857885,-118.562083,2000
34.288396,-118.581814,1800
34.278731,-118.4610295,1300
34.2786785,-118.474608,1500
34.272521,-118.479515,2000
34.269881,-118.4552825,1700
34.274036,-118.4444575,1100
34.2582765,-118.450367,1700
34.2536515,-118.465415,1200
34.2615535,-118.465347,800
34.263394,-118.4810215,2000
34.2537535,-118.481817,1400
34.2683575,-118.4946735,1300
34.275029,-118.50855,2000
34.2683485,-118.5151565,1600
34.2620495,-118.5490485,1200
34.253636,-118.5358265,1700
34.2676425,-118.5361955,2000
34.2610855,-118.5158815,1300
34.2539425,-118.512829,1200
34.257483,-118.495412,1100
34.265338,-118.5882575,1900
34.2635755,-118.611966,2000
34.2608605,-118.6035245,1700
34.2535965,-118.608218,1500
34.2282065,-118.645614,1200
34.227417,-118.61402,1500
34.2275575,-118.6017175,1200
34.227624,-118.59227,1100
34.2373915,-118.6488335,1400
34.2451855,-118.6125745,1900
34.2448005,-118.5590895,2000
34.2420235,-118.5801645,1200
34.25361,-118.5913535,1200
34.253622,-118.571362,2000
34.2279845,-118.562301,1500
34.234694,-118.5826685,1200
34.224085,-118.5821745,1100
34.239435,-118.5112365,800
34.246414,-118.528551,1200
34.2395005,-118.523595,1300
34.244559,-118.537408,1100
34.2338575,-118.537507,1200
34.240482,-118.545339,1500
34.226401,-118.5498615,1100
34.2247565,-118.5149735,1000
34.22481,-118.5317135,1100
34.2257645,-118.5412445,1100
34.2391215,-118.4617905,1300
34.2463715,-118.4596495,900
34.242798,-118.470143,900
34.242857,-118.478624,1800
34.242917,-118.4905265,2000
34.235472,-118.49709,1300
34.2281815,-118.4920695,1700
34.228481,-118.479066,1000
34.2337315,-118.4702305,1000
34.2300885,-118.470266,1000
34.2248485,-118.4703675,900
34.2336865,-118.462625,1000
34.230017,-118.4631875,1000
34.224845,-118.4634755,1100
34.232289,-118.4180405,1700
34.245902,-118.428032,1400
34.246411,-118.441015,1700
34.2559555,-118.442705,1200
34.246626,-118.450697,1300
34.239058,-118.453982,1300
34.2336085,-118.4518995,1100
34.237627,-118.4453355,1100
34.240834,-118.4468745,1400
34.2399345,-118.4355265,2000
34.219334,-118.4266115,1600
34.2337665,-118.429943,1100
