x,y,Amount
34.2595555,-118.293602,1044
34.267357,-118.29024,1370
34.251998,-118.2926875,1113
34.2511895,-118.281014,899
34.2455945,-118.271731,1211
34.244255,-118.296428,1196
34.224155,-118.354339,1101
34.216189,-118.3456235,2000
34.210852,-118.3480495,1058
34.2412955,-118.3292705,629
34.274431,-118.30714,2000
34.262834,-118.30683,1134
34.2745565,-118.3439025,994
34.255439,-118.3527775,1838
34.253933,-118.3147245,1047
34.2819045,-118.3918905,1488
34.276146,-118.404645,789
34.271671,-118.397614,1140
34.287866,-118.376208,1154
34.2867415,-118.4160805,826
34.279058,-118.411554,1009
34.2886315,-118.396898,1154
34.2762555,-118.4293915,1531
34.27316,-118.4202235,1138
34.2670615,-118.433071,813
34.2589085,-118.4345385,1176
34.2639205,-118.4286915,977
34.25551,-118.4257485,1314
34.2604335,-118.4189955,1277
34.2579045,-118.422465,1082
34.268476,-118.4152165,752
34.2551165,-118.399872,1163
34.2625155,-118.4088415,1335
34.2502955,-118.411179,1239
34.2465705,-118.416294,1253
34.245882,-118.4209225,1253
34.3231715,-118.444538,1444
34.320427,-118.428524,2000
34.3231945,-118.4087995,1968
34.305005,-118.414298,1704
34.3062,-118.42203,1348
34.302675,-118.426951,1135
34.306005,-118.441288,1556
34.3146865,-118.448309,1172
34.321542,-118.4587415,1115
34.3105765,-118.4365505,1036
34.3132585,-118.440082,1086
34.3236325,-118.4860245,1376
34.308856,-118.4613605,1359
34.3189225,-118.5218285,2000
34.3042795,-118.474247,1114
34.298025,-118.509153,2000
34.2863475,-118.5084525,1480
34.289784,-118.524711,2000
34.2905125,-118.4928915,1521
34.2790905,-118.4941245,1436
34.293406,-118.4556035,888
34.288747,-118.4611105,1632
34.302027,-118.446501,1327
34.2975345,-118.4503905,1452
34.280038,-118.5413715,2000
34.280795,-118.55492,2000
34.2860705,-118.542893,2000
34.2939525,-118.5470515,
34.2857885,-118.562083,2000
34.288396,-118.581814,1842
34.278731,-118.4610295,1260
34.2786785,-118.474608,1472
34.272521,-118.479515,2000
34.269881,-118.4552825,1702
34.274036,-118.4444575,1113
34.2582765,-118.450367,1693
34.2536515,-118.465415,1160
34.2615535,-118.465347,754
34.263394,-118.4810215,2000
34.2537535,-118.481817,1379
34.2683575,-118.4946735,1328
34.275029,-118.50855,1993
34.2683485,-118.5151565,1555
34.2620495,-118.5490485,1200
34.253636,-118.5358265,1693
34.2676425,-118.5361955,2000
34.2610855,-118.5158815,1265
34.2539425,-118.512829,1155
34.257483,-118.495412,1146
34.265338,-118.5882575,1893
34.265325,-118.568068,
34.2635755,-118.611966,2000
34.2608605,-118.6035245,1672
34.2535965,-118.608218,1544
34.2282065,-118.645614,1219
34.227417,-118.61402,1532
34.2275575,-118.6017175,1156
34.227624,-118.59227,1100
34.2373915,-118.6488335,1375
34.2451855,-118.6125745,1899
34.2448005,-118.5590895,2000
34.2420235,-118.5801645,1206
34.25361,-118.5913535,1203
34.253622,-118.571362,2000
34.2279845,-118.562301,1543
34.234694,-118.5826685,1209
34.224085,-118.5821745,1112
34.239435,-118.5112365,794
34.246414,-118.528551,1200
34.2395005,-118.523595,1272
34.244559,-118.537408,1138
34.2338575,-118.537507,1217
34.240482,-118.545339,1461
34.226401,-118.5498615,1054
34.2247565,-118.5149735,1005
34.22481,-118.5317135,1069
34.2257645,-118.5412445,1144
34.2391215,-118.4617905,1317
34.2463715,-118.4596495,879
34.242798,-118.470143,949
34.242857,-118.478624,1837
34.242917,-118.4905265,2000
34.235472,-118.49709,1305
34.2281815,-118.4920695,1700
34.228481,-118.479066,950
34.2337315,-118.4702305,957
34.2300885,-118.470266,966
34.2248485,-118.4703675,942
34.2336865,-118.462625,985
34.230017,-118.4631875,1020
34.224845,-118.4634755,1062
34.232289,-118.4180405,1675
34.245902,-118.428032,1389
34.246411,-118.441015,1657
34.2559555,-118.442705,1191
34.246626,-118.450697,1282
34.239058,-118.453982,1348
34.2336085,-118.4518995,1090
34.237627,-118.4453355,1091
34.240834,-118.4468745,1433
34.2399345,-118.4355265,2000
34.219334,-118.4266115,1609
34.2337665,-118.429943,1094
34.227376,-118.441236,1358
34.2175015,-118.4629745,1015
34.2166115,-118.4541405,984
34.2149315,-118.451986,931
34.229161,-118.4516205,972
34.224796,-118.4484845,1000
34.2300875,-118.444443,670
34.223101,-118.4567005,983
34.2264195,-118.4566575,938
34.231779,-118.4563995,1214
34.214918,-118.439841,1658
34.2178505,-118.4330175,1064
34.224559,-118.402591,1368
34.2110805,-118.402468,1130
34.225737,-118.3655,972
34.2403885,-118.3845615,1226
34.2400435,-118.404715,940
34.227323,-118.396127,1417
34.2330185,-118.391909,1082
34.211448,-118.409348,1971
34.21209,-118.3921495,1101
34.219592,-118.39214,1449
34.2176405,-118.3816355,916
34.2171585,-118.4183795,1162
34.21116,-118.371144,1096
34.2138845,-118.3714175,1095
34.220949,-118.3717735,855
34.214391,-118.3596165,1086
34.204063,-118.3921485,969
34.203194,-118.3834125,999
34.202326,-118.374682,966
34.2048255,-118.366247,861
34.1906295,-118.365029,984
34.183057,-118.364585,1023
34.195833,-118.392147,902
34.193936,-118.39433,947
34.194979,-118.383413,937
34.1941185,-118.3746795,859
34.199392,-118.401141,984
34.1975515,-118.411425,998
34.19712,-118.4056305,952
34.197565,-118.4224435,849
34.1939335,-118.418128,885
34.195752,-118.4268885,938
34.190302,-118.4244185,963
34.177484,-118.417834,1126
34.1794765,-118.42688,1024
34.184859,-118.409517,1120
34.181224,-118.400846,1198
34.1848585,-118.394806,1129
34.176766,-118.3921365,1229
34.162959,-118.4048165,1079
34.175783,-118.383398,1069
34.1884915,-118.3834125,943
34.1848615,-118.383409,881
34.181229,-118.383405,1115
34.1848665,-118.374674,997
34.177602,-118.3746645,1007
34.1739735,-118.3746565,968
34.175793,-118.36403,1095
34.1738495,-118.409707,1173
34.1741095,-118.4246955,1177
34.161935,-118.4268715,1401
34.16246691,-118.4138645,1236
34.170222,-118.4008735,1101
34.1666115,-118.4008715,1206
34.1648815,-118.39212,1177
34.1648915,-118.383369,1051
34.1685345,-118.3668635,1202
34.1667075,-118.3702555,1099
34.1612765,-118.374603,1148
34.1568065,-118.3734175,1196
34.1621865,-118.365879,1082
34.1564755,-118.3658595,1286
34.1588915,-118.355607,1335
34.206446,-118.4443775,1196
34.2046925,-118.42898,959
34.2056005,-118.4356785,1044
34.2080785,-118.45744,996
34.2047635,-118.4531115,929
34.2087545,-118.4697515,963
34.211219,-118.4794785,1025
34.2182555,-118.469623,948
34.19575,-118.479983,939
34.199296,-118.479612,877
34.1902705,-118.485831,1003
34.190276,-118.4777465,998
34.1871595,-118.4701935,1240
34.197487,-118.4701995,874
34.197557,-118.4530895,946
34.197493,-118.461823,995
34.192108,-118.457452,948
34.1886615,-118.457449,1079
34.197562,-118.444372,983
34.197565,-118.435622,1054
34.1902995,-118.4356175,1155
34.190296,-118.444351,998
34.183584,-118.4443465,984
34.1832715,-118.4356135,933
34.18353,-118.4596295,963
34.18356,-118.4530775,967
34.178852,-118.461253,1328
34.1703025,-118.4443375,1245
34.1781255,-118.439977,1020
34.1712145,-118.4356065,1122
34.1600075,-118.439966,1307
34.1684665,-118.46564,1205
34.1684825,-118.455251,1386
34.160867,-118.4590905,1194
34.214552,-118.541108,1043
34.1992525,-118.5399945,1338
34.2148095,-118.505505,1783
34.2147545,-118.514238,1496
34.2146895,-118.5229705,1851
34.214622,-118.531704,1189
34.214462,-118.553111,1927
34.2046655,-118.5578915,1226
34.2046775,-118.548712,1197
34.2047035,-118.527322,1040
34.2047185,-118.50986,1843
34.1920605,-118.5142095,1190
34.193829,-118.5098475,1278
34.1902625,-118.495655,1235
34.20352,-118.4967605,1141
34.1974585,-118.5273115,941
34.197466,-118.548712,1134
34.190734,-118.5471015,1040
34.189425,-118.527258,972
34.185127,-118.525918,1528
34.1944835,-118.557871,1892
34.185206,-118.5447525,1256
34.2017765,-118.5906475,1108
34.2017175,-118.584817,991
34.214331,-118.5666505,1074
34.214258,-118.5790175,1074
34.211953,-118.575385,1167
34.2141235,-118.59024,1278
34.2138875,-118.6216555,2000
34.2027615,-118.614672,1800
34.213963,-118.6102945,992
34.2176665,-118.601714,1067
34.2119155,-118.601704,1122
34.2027805,-118.6477985,2000
34.203569,-118.630125,2000
34.2137705,-118.63362,2000
34.21294,-118.6550685,
34.197392,-118.59933,1045
34.2046645,-118.5952795,1043
34.2046535,-118.6016945,1040
34.204629,-118.579151,908
34.204646,-118.568813,1118
34.195612,-118.5725685,1904
34.1859945,-118.562223,1013
34.191802,-118.5929565,1196
34.1904695,-118.5796995,973
34.1829585,-118.584201,1825
34.188713,-118.6189975,1700
34.192351,-118.6102355,1215
34.181024,-118.6059875,2000
34.1882935,-118.605996,1409
34.1883425,-118.627666,2000
34.1891815,-118.6372335,2000
34.1943875,-118.6552165,2000
34.1742965,-118.6015635,2000
34.1740855,-118.5841795,2000
34.1718335,-118.614082,1364
34.1767335,-118.6309385,2000
34.177044,-118.6555755,2000
34.1582135,-118.612342,1826
34.156668,-118.626367,2000
34.165383,-118.5752795,1560
34.163679,-118.596991,1860
34.14705,-118.571596,
34.1469275,-118.5914025,2000
34.1752945,-118.509778,1571
34.175666,-118.5246645,1397
34.1796355,-118.556094,2000
34.1767015,-118.5383655,1148
34.1758345,-118.533412,1077
34.169524,-118.5377675,1218
34.1677675,-118.548778,
34.164742,-118.5254075,1586
34.1673155,-118.524646,1172
34.1667565,-118.5203235,1389
34.1632385,-118.509831,1483
34.157356,-118.4967075,2000
34.1430395,-118.504833,2000
34.144623,-118.5319345,2000
34.153124,-118.5451245,1364
34.1453435,-118.5545195,2000
34.1515515,-118.4268665,1398
34.149623,-118.4308415,1475
34.1528925,-118.442632,1307
34.1470205,-118.4426355,1605
34.152885,-118.4630195,1486
34.1550215,-118.4552015,1507
34.151617,-118.454058,1485
34.1568045,-118.475833,1567
34.138146,-118.4788925,1896
34.1376705,-118.459396,2000
34.1379545,-118.4378355,2000
34.1478525,-118.3563095,1313
34.149998,-118.3710665,1295
34.1521895,-118.386433,1231
34.153987,-118.409486,1570
34.146964,-118.4092995,1609
34.1449605,-118.387713,1346
34.1438535,-118.3703245,1331
34.1406405,-118.369959,1705
34.128096,-118.358231,1426
34.1343225,-118.3793935,1326
34.132849,-118.3947615,1346
34.1378715,-118.418298,1377
34.1439045,-118.204552,1320
34.1364875,-118.2233065,1443
34.1364725,-118.210235,1102
34.133864,-118.1922815,1180
34.1295685,-118.210156,1195
34.1213355,-118.1819855,1066
34.116165,-118.1748505,1055
34.120221,-118.172802,1101
34.119149,-118.1900895,1018
34.125332,-118.1907195,1087
34.128003,-118.1965205,946
34.1213215,-118.2009575,1223
34.121669,-118.209149,1292
34.125651,-118.216654,981
34.1153125,-118.2025785,1363
34.110558,-118.201548,915
34.1141535,-118.194381,1022
34.1147205,-118.189487,948
34.108515,-118.186489,990
34.1047815,-118.184373,1243
34.1074675,-118.198023,909
34.104337,-118.197538,918
34.1047205,-118.211798,816
34.0951035,-118.218046,977
34.099608,-118.2317465,982
34.102575,-118.222414,1375
34.091851,-118.222215,835
34.0883995,-118.2247575,805
34.1284265,-118.2296325,1040
34.121613,-118.2186485,1017
34.120163,-118.2240375,1157
34.1149675,-118.215376,1420
34.1220355,-118.2414825,1079
34.1130175,-118.228915,962
34.118178,-118.2445025,938
34.111287,-118.2393275,1161
34.1070285,-118.235004,889
34.1156225,-118.259303,969
34.100216,-118.2437135,1056
34.101728,-118.2488185,944
34.101596,-118.257665,1435
34.137637,-118.270105,1174
34.112061,-118.2742745,1345
34.116113,-118.2790375,1227
34.1203105,-118.2636825,1045
34.1047355,-118.2885045,1510
34.113089,-118.2888405,1326
34.103583,-118.296163,1035
34.111557,-118.295845,1513
34.112585,-118.306918,1099
34.120601,-118.3214985,1768
34.109247,-118.3218185,1173
34.1127975,-118.330591,1097
34.129416,-118.3366605,1630
34.1137465,-118.3421255,1376
34.0980545,-118.359927,1215
34.0961785,-118.3490045,1302
34.1026455,-118.34759,1455
34.099793,-118.346538,1188
34.100732,-118.3514465,1282
34.0992315,-118.3421205,1082
34.1034935,-118.330009,950
34.1033925,-118.335128,1002
34.103533,-118.3178,939
34.1035725,-118.302783,923
34.103557,-118.307149,930
34.0999045,-118.3118915,994
34.0999325,-118.303805,848
34.098,-118.332675,938
34.0943795,-118.3244635,826
34.094359,-118.3299175,917
34.094431,-118.3124765,889
34.0944055,-118.319012,899
34.1016045,-118.320651,933
34.096507,-118.304869,897
34.0929955,-118.3048465,883
34.0985005,-118.296143,842
34.093198,-118.293925,841
34.0931035,-118.2982805,890
34.092753,-118.286057,1046
