x,y,Score
33.9438,-118.2695,1
34.2545,-118.4272,4
34.0653,-118.3269,8
33.7639,-118.2934,8
34.1636,-118.3681,4
34.201,-118.6029,3
34.2047,-118.5879,3
34.2147,-118.4575,4
34.2575,-118.5023,3
34.282,-118.4076,4
34.1763,-118.3991,2
34.212,-118.4126,3
33.994,-118.4526,6
33.9873,-118.3177,6
33.9602,-118.2629,6
33.9727,-118.2827,4
33.9708,-118.2827,7
34.0983,-118.2436,6
34.0265,-118.3721,7
34.0728,-118.2844,4
34.2108,-118.3719,2
34.2685,-118.4152,4
33.9771,-118.4137,6
33.9949,-118.4801,2
34.0289,-118.2661,7
33.9647,-118.2695,9
34.0328,-118.4366,7
34.0534,-118.3436,6
34.0404,-118.3475,7
34.0962,-118.3517,1
33.727,-118.2858,4
34.0522,-118.206,2
34.0062,-118.3451,6
34.0287,-118.3212,6
34.0524,-118.2765,6
34.201,-118.571,7
33.9415,-118.2894,3
34.203,-118.3921,3
34.0057,-118.2652,4
33.96,-118.3068,5
33.9932,-118.327,3
33.96,-118.3046,4
33.9721,-118.263,3
34.0574,-118.3525,2
34.0182,-118.2974,4
34.232,-118.6006,2
34.1938,-118.5975,7
34.1974,-118.6029,4
34.2331,-118.6273,5
34.2202,-118.571,3
34.1882,-118.5988,3
34.0473,-118.2924,6
34.0465,-118.2854,4
34.0599,-118.3143,2
34.0618,-118.2979,3
34.0799,-118.3113,7
34.0455,-118.3025,6
34.0763,-118.2994,6
34.0712,-118.3067,1
34.0443,-118.2892,6
34.0777,-118.3023,6
34.0559,-118.3078,4
34.0777,-118.3023,5
34.0652,-118.2878,3
34.0727,-118.2942,5
34.0527,-118.2927,5
34.0793,-118.3157,3
34.0793,-118.3157,3
34.0618,-118.2916,4
34.0691,-118.2954,3
34.0618,-118.2979,4
34.0691,-118.2979,3
34.049,-118.3066,4
34.0691,-118.2917,4
34.2145,-118.4334,8
34.309,-118.426,4
34.3163,-118.4303,7
34.283,-118.4635,6
34.2279,-118.4423,7
34.2722,-118.466,7
34.3002,-118.464,6
34.2226,-118.4438,6
34.3156,-118.4408,6
34.2374,-118.4676,8
34.2468,-118.4368,7
34.2328,-118.4116,7
34.2184,-118.4698,4
34.2338,-118.472,4
34.2402,-118.4502,3
34.2337,-118.4536,4
34.2247,-118.4574,4
33.9529,-118.2739,4
33.9274,-118.2739,2
33.9274,-118.2739,3
33.9024,-118.2871,3
33.9565,-118.2651,5
33.9469,-118.2772,10
33.9456,-118.2652,4
33.9456,-118.2652,4
33.9024,-118.2871,4
33.9503,-118.2565,3
33.9602,-118.2651,5
33.9457,-118.2541,3
33.9503,-118.2586,6
33.9274,-118.2871,3
34.2285,-118.4993,6
34.251,-118.474,1
34.2248,-118.5151,5
34.2485,-118.4948,3
34.2248,-118.4872,4
34.2428,-118.564,7
34.2249,-118.4792,7
34.2301,-118.5254,1
34.2575,-118.5002,5
34.2355,-118.5885,3
34.2655,-118.4803,7
34.258,-118.4313,4
34.2597,-118.306,5
34.2439,-118.4164,3
34.2275,-118.4031,6
34.2085,-118.3834,5
34.2124,-118.3455,4
34.134,-118.3441,7
34.1468,-118.4084,6
34.167,-118.3759,4
34.174,-118.3626,4
34.1522,-118.3593,5
34.1504,-118.3801,3
34.1504,-118.3658,6
34.2012,-118.3845,9
34.212,-118.4126,3
34.1689,-118.379,4
34.17,-118.373,3
34.1909,-118.3654,9
34.1362,-118.342,5
34.1687,-118.3646,6
34.2027,-118.3745,5
34.17,-118.3741,6
34.2107,-118.4158,6
34.2031,-118.4182,7
34.1481,-118.3644,6
34.1369,-118.4004,7
34.167,-118.3759,10
34.0284,-118.4048,6
33.9793,-118.4138,4
33.9449,-118.4059,3
33.9432,-118.4013,8
34.0023,-118.4697,9
34.0014,-118.4679,7
33.9986,-118.4165,6
34.022,-118.4223,6
34.0167,-118.4382,3
34.0291,-118.4037,4
33.9579,-118.402,3
34.0261,-118.4052,1
34.0058,-118.4424,6
34.0045,-118.4379,6
33.9888,-118.4454,3
33.9888,-118.4454,4
34.0238,-118.4191,4
33.9878,-118.4461,1
33.9912,-118.4681,7
34.0083,-118.425,4
34.0193,-118.4222,3
33.949,-118.3744,3
33.9586,-118.3962,4
33.9708,-118.3808,4
34.0035,-118.4598,5
33.9449,-118.4059,3
33.9589,-118.4484,2
33.9933,-118.4765,6
34.0284,-118.4037,7
33.994,-118.4526,5
33.9761,-118.4602,5
34.02,-118.2395,6
34.0254,-118.2551,6
33.9947,-118.2432,4
34.0321,-118.2499,1
34.0091,-118.274,3
34.0086,-118.2474,6
34.0008,-118.2617,1
34.0008,-118.2617,1
34.0008,-118.2617,10
34.0008,-118.2617,3
33.9851,-118.2765,5
34.0039,-118.2717,9
34.0224,-118.2559,7
34.0136,-118.2611,6
33.9857,-118.2628,9
33.9852,-118.2739,4
34.0291,-118.2565,9
34.0174,-118.2621,3
33.9843,-118.2695,5
33.987,-118.2849,4
33.9932,-118.3214,4
33.9694,-118.2608,4
33.9654,-118.2739,6
34.0017,-118.2979,5
33.9499,-118.309,7
33.9499,-118.309,7
34.0007,-118.3002,6
33.9667,-118.2893,4
33.9797,-118.3294,1
33.997,-118.3113,1
33.9611,-118.2871,6
33.9806,-118.3352,3
33.9691,-118.309,9
34.0407,-118.437,9
34.0637,-118.4453,6
34.0762,-118.3236,4
34.0364,-118.373,7
34.0516,-118.3219,4
34.0761,-118.3731,3
34.0735,-118.3571,3
34.0621,-118.3385,6
34.0683,-118.3691,6
34.038,-118.3189,5
34.0356,-118.3561,5
34.0383,-118.3671,5
34.0728,-118.3656,3
34.0764,-118.3786,3
34.0478,-118.3267,7
34.0485,-118.3335,3
34.0534,-118.3436,7
34.0699,-118.3511,3
34.0761,-118.3563,6
34.1,-118.3113,4
34.0962,-118.3517,1
34.098,-118.349,3
34.0944,-118.3305,4
34.1016,-118.3267,3
34.0981,-118.3092,6
34.1258,-118.3255,3
34.1016,-118.3267,7
34.1053,-118.329,5
34.0962,-118.3471,4
34.098,-118.3363,4
34.1107,-118.3646,1
34.0962,-118.338,7
34.098,-118.3643,4
34.1101,-118.3316,5
34.0987,-118.3337,3
34.0987,-118.3337,3
34.098,-118.3376,6
